"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj"
"gene-LOC134707567|LOC134707567" 59.5823668061764 -0.402508433178556 0.150688579181276 0.000764470221842497 0.017011923177053
"gene-LOC134704386|LOC134704386" 48.5689634513568 0.492953780715439 0.117040112429355 2.34574137600012e-06 0.000258780192224694
"gene-LOC134691295|LOC134691295" 16.5482715221684 -0.83242150463513 0.422180213063646 0.00165730112769175 0.0303643333819142
"gene-LOC134703425|LOC134703425" 30.4683707102432 0.529145582432115 0.151518436237425 3.76760433793435e-05 0.00175202049257306
"gene-LOC134704390|LOC134704390" 95.9463333245151 0.473078347901785 0.121486570858531 9.13824315676094e-06 0.000622824015363047
"gene-LOC134704115|LOC134704115" 56.8621838735494 0.495236778176648 0.116344365992092 1.96015648314785e-06 0.000228391266631946
"gene-LOC134703960|LOC134703960" 49.6366142616204 0.56000891846738 0.118492224526844 2.02934733421178e-07 6.66633947926535e-05
"gene-LOC134725783|LOC134725783" 1249.38573743754 -1.09270335047398 0.443526447800911 0.000465076901931696 0.0118207045907639
"gene-LOC134715184|LOC134715184" 65.2515159168873 -0.474432474842124 0.187980967808205 0.000854928948151439 0.0186252377990135
"STRG.12299|LOC134703629" 138.232160489657 0.446144860580077 0.110789837264878 5.84265154162856e-06 0.000452151466318568
"gene-LOC134715612|LOC134715612" 23.717020219006 -1.09233944535798 0.428509981011765 0.000391832614524714 0.0103436935288828
"gene-LOC134703825|LOC134703825" 49.3017346903721 0.537803108305134 0.115425384007372 2.76916829167562e-07 7.15430313000448e-05
"gene-LOC134703644|LOC134703644" 30.7347220186532 0.479461290135272 0.152869218793985 0.000146210597263185 0.00502054269410339
"gene-LOC134691069|LOC134691069" 47.7499082735926 -0.974328208675558 0.294281306282395 4.24356177585244e-05 0.00193007612349078
"gene-LOC134684548|LOC134684548" 11.6222758395957 1.06403785610543 0.271304614282947 4.84779857302932e-06 0.0004008949509734
"gene-LOC134714998|LOC134714998" 172.176375077922 -0.402157064238845 0.103648119165984 1.24857656637228e-05 0.000773855716595617
"gene-LOC134712481|LOC134712481" 106.603147669461 0.347014184579461 0.130075326212029 0.00101387054193039 0.0211032084804263
"STRG.337|LOC134684371" 138.75209966499 0.661231523603968 0.317834965081568 0.00161512279468296 0.0300150004486477
"gene-LOC134685672|LOC134685672" 31.2501319574172 -0.990783552684181 0.280208210881227 1.9253800461181e-05 0.00106203144033217
"gene-LOC134721691|LOC134721691" 49.5476950294514 2.62350794704946 0.972066739567266 0.000181715621408416 0.00585214594411575
"STRG.12449|LOC134704079" 22.8135066219329 0.444512390870998 0.17375236131606 0.000930441407385617 0.0198941801950286
"gene-LOC134702890|LOC134702890" 30.5232250155223 0.518204534486796 0.149281545187627 4.10613497121756e-05 0.00189247198451227
"gene-LOC134711880|LOC134711880" 168.728510329726 -0.433338452888575 0.214749735909262 0.00336043301476845 0.0499966863172868
"gene-LOC134718034|LOC134718034" 14.3236181108537 -0.643462880498276 0.281364513721256 0.00107982833267159 0.022173900613474
"gene-LOC134693203|LOC134693203" 343.000121757341 0.921602013953649 0.357742131990749 0.000398199429754992 0.0104805281384753
"gene-LOC134712684|LOC134712684" 205.883092359775 -0.264879244690576 0.106900577168998 0.00280461257858401 0.0441332813959274
"gene-LOC134690687|LOC134690687" 460.553249569503 0.511944497238899 0.160650157180929 0.00011332657266253 0.00422504623041945
"STRG.12458|LOC134704091" 30.2002383121085 0.54357017686021 0.146477355564071 1.62771821553765e-05 0.000937746549729188
"gene-LOC134703487|LOC134703487" 20.2309325407935 0.484219175901651 0.18083835927045 0.000585108958797706 0.0139566821619173
"gene-LOC134704392|LOC134704392" 20.4826951155643 0.36941662240422 0.168956455690888 0.00307360040027315 0.0470106727888386
"gene-LOC134710322|LOC134710322" 83.901791426597 0.250591433737053 0.0996762637771659 0.00288269459286754 0.0449950769749094
"gene-LOC134696458|LOC134696458" 44.6486204123339 -1.72212462645827 0.458353522327105 6.60986589081012e-06 0.000479330834179727
"gene-LOC134710836|LOC134710836" 409.394565833173 0.277062353969984 0.107665402539975 0.0020159720508732 0.0347847423752996
"gene-LOC134706394|LOC134706394" 38.0615159422735 0.867036402808305 0.219958008147916 4.36472239817761e-06 0.000377184760575848
"gene-LOC134725602|LOC134725602" 11.1845451789844 -0.60766146480022 0.331607004360089 0.00301740590481269 0.046425073045857
"gene-LOC134687117|LOC134687117" 94.5814228110669 -0.908388093147164 0.470232983356785 0.00161092991869004 0.0299916395993102
"gene-LOC134685661|LOC134685661" 80.3983110508906 -0.522839550160758 0.136430903956225 1.05280826804303e-05 0.000695389919720143
"gene-LOC134681010|LOC134681010" 100.435308856289 0.608577114080731 0.216468998023296 0.000293685630704273 0.008389862232516
"gene-LOC134728140|LOC134728140" 31.8697470775192 -0.433271801517253 0.191161514523593 0.00191370941827987 0.0337502834482351
"STRG.11914|LOC134702869" 40.3635622539835 0.571467036861568 0.140834219221544 3.71855576652622e-06 0.000350558393626153
"gene-LOC134707011|LOC134707011" 156.851322851773 0.236212237958921 0.0803928666930935 0.000976805793948552 0.0205637924788722
