sample,species,trt,both_thread,sample,RNA_box,location,conc_ng_uL-1,vol_uL,yield_ng,yield_ug,add_sample,add_water,total_vol,RNA_ug,conc_ng_uL-1,,,,,
94,M. trossulus,T_OA_d3,0,T118G,2,C5,82,100,8200,8.2,31,29,60,2.54,42.3,2540,,gill,OA_d3,"M. trossulus, gill, OA_d3"
95,M. trossulus,T_OA_d3,0,T119G,2,C6,54.6,100,5460,5.46,47,13,60,2.57,42.8,2570,,gill,OA_d3,"M. trossulus, gill, OA_d3"
96,M. trossulus,T_OW_d3,1,T029F,2,C7,89,100,8900,8.9,29,31,60,2.58,43,2580,,foot,OW_d3,"M. trossulus, foot, OW_d3"
97,M. trossulus,T_OW_d3,1,T030F,2,C8,46.2,100,4620,4.62,55,5,60,2.54,42.3,2540,,foot,OW_d3,"M. trossulus, foot, OW_d3"
98,M. trossulus,T_OW_d3,1,T031F,2,C9,74.2,100,7420,7.42,35,25,60,2.6,43.3,2600,,foot,OW_d3,"M. trossulus, foot, OW_d3"
99,M. trossulus,T_OW_d3,1,T033F,2,D1,63.2,100,6320,6.32,41,19,60,2.59,43.2,2590,,foot,OW_d3,"M. trossulus, foot, OW_d3"
100,M. trossulus,T_OW_d3,1,T034F,2,D2,97,100,9700,9.7,27,33,60,2.62,43.7,2620,,foot,OW_d3,"M. trossulus, foot, OW_d3"
101,M. trossulus,T_OW_d3,1,T035F,2,D3,30.4,100,3040,3.04,80,0,80,2.43,30.4,2430,,foot,OW_d3,"M. trossulus, foot, OW_d3"
102,M. trossulus,T_OW_d3,1,T036F,2,D4,37,100,3700,3.7,80,0,80,2.96,37,2960,,foot,OW_d3,"M. trossulus, foot, OW_d3"
103,M. trossulus,T_OW_d3,1,T037F,2,D5,62.6,100,6260,6.26,41,19,60,2.57,42.8,2570,,foot,OW_d3,"M. trossulus, foot, OW_d3"
104,M. trossulus,T_OW_d3,1,T038F,2,D6,84.2,100,8420,8.42,31,29,60,2.61,43.5,2610,,foot,OW_d3,"M. trossulus, foot, OW_d3"
105,M. trossulus,T_OW_d3,1,T039F,2,D7,68.4,100,6840,6.84,38,22,60,2.6,43.3,2600,,foot,OW_d3,"M. trossulus, foot, OW_d3"
106,M. trossulus,T_OW_d3,1,T040F,2,D8,35,100,3500,3.5,60,0,60,2.1,35,2100,,foot,OW_d3,"M. trossulus, foot, OW_d3"
107,M. trossulus,T_OW_d3,1,T041F,2,D9,47.4,100,4740,4.74,54,6,60,2.56,42.7,2560,,foot,OW_d3,"M. trossulus, foot, OW_d3"
108,M. trossulus,T_OW_d3,1,T029G,2,E1,86,100,8600,8.6,30,30,60,2.58,43,2580,,gill,OW_d3,"M. trossulus, gill, OW_d3"
109,M. trossulus,T_OW_d3,1,T030G,2,E2,83,200,16600,16.6,31,29,60,2.57,42.8,2570,,gill,OW_d3,"M. trossulus, gill, OW_d3"
110,M. trossulus,T_OW_d3,1,T031G,2,E3,99,200,19800,19.8,26,34,60,2.57,42.8,2570,,gill,OW_d3,"M. trossulus, gill, OW_d3"
111,M. trossulus,T_OW_d3,1,T033G,2,E4,87.8,100,8780,8.78,29,31,60,2.55,42.5,2550,,gill,OW_d3,"M. trossulus, gill, OW_d3"
112,M. trossulus,T_OW_d3,1,T034G,2,E5,104,100,10400,10.4,25,35,60,2.6,43.3,2600,,gill,OW_d3,"M. trossulus, gill, OW_d3"
113,M. trossulus,T_OW_d3,1,T035G,2,E6,130,100,13000,13,20,40,60,2.6,43.3,2600,,gill,OW_d3,"M. trossulus, gill, OW_d3"
114,M. trossulus,T_OW_d3,1,T036G,2,E7,50.4,100,5040,5.04,51,9,60,2.57,42.8,2570,,gill,OW_d3,"M. trossulus, gill, OW_d3"
115,M. trossulus,T_OW_d3,1,T037G,2,E8,86,140,12040,12.04,30,30,60,2.58,43,2580,,gill,OW_d3,"M. trossulus, gill, OW_d3"
116,M. trossulus,T_OW_d3,1,T038G,2,E9,56.8,100,5680,5.68,45,15,60,2.56,42.7,2560,,gill,OW_d3,"M. trossulus, gill, OW_d3"
117,M. trossulus,T_OW_d3,1,T039G,2,F1,52.6,100,5260,5.26,49,11,60,2.58,43,2580,,gill,OW_d3,"M. trossulus, gill, OW_d3"
118,M. trossulus,T_OW_d3,1,T040G,2,F2,118,100,11800,11.8,22,38,60,2.6,43.3,2600,,gill,OW_d3,"M. trossulus, gill, OW_d3"
119,M. trossulus,T_OW_d3,1,T041G,2,F3,45,100,4500,4.5,57,3,60,2.57,42.8,2570,,gill,OW_d3,"M. trossulus, gill, OW_d3"
120,M. trossulus,T_control_d0,0,T001FX,2,,122,200,24400,24.4,21,39,60,2.56,42.7,2560,,gill,ol_d0,"M. trossulus, foot_control, control_d0"
121,M. trossulus,T_control_d0,0,T002FX,2,,166,50,8300,8.3,16,44,60,2.66,44.3,2660,,gill,ol_d0,"M. trossulus, foot_control, control_d0"
122,M. trossulus,T_control_d0,0,T003FX,2,,186,50,9300,9.3,14,46,60,2.6,43.3,2600,,gill,ol_d0,"M. trossulus, foot_control, control_d0"
123,M. trossulus,T_control_d0,0,T004FX,2,,138,200,27600,27.6,19,41,60,2.62,43.7,2620,,gill,ol_d0,"M. trossulus, foot_control, control_d0"
