TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0006581"	"acetylcholine catabolic process"	NaN	3.518118947143153	0.008112619302392519	0.9737842015520016	0.02468757	null
"GO:0006582"	"melanin metabolic process"	NaN	3.9426032488421567	0.02156391313964225	0.971239277747355	0.76952394	null
"GO:0006584"	"catecholamine metabolic process"	NaN	4.086644520610805	0.030045735383587825	0.9718415235188259	0.03028807	null
"GO:0006589"	"octopamine biosynthetic process"	NaN	3.448087666692341	0.006904095007042177	0.9543504943807215	0.78855142	null
"GO:0006590"	"thyroid hormone generation"	NaN	3.513350798805957	0.008024010596419785	0.8733944064575475	0.72615403	null
"GO:0006605"	"protein targeting"	NaN	5.485150507652978	0.7521820755319316	0.9205553918726989	0.4472917	null
"GO:0006606"	"protein import into nucleus"	NaN	5.0042310655411635	0.248542497547631	0.915869566964023	0.88479982	null
"GO:0006616"	"SRP-dependent cotranslational protein targeting to membrane, translocation"	NaN	4.35837273025802	0.05617299688082587	0.9201750647708024	0.78349004	null
"GO:0006621"	"protein retention in ER lumen"	NaN	4.1242106834362176	0.03276060768047464	0.9328304589583173	0.77812648	null
"GO:0006622"	"protein targeting to lysosome"	NaN	3.809761665107125	0.01588064919266885	0.9273459463332875	0.74830291	null
"GO:0006629"	"lipid metabolic process"	NaN	6.385531203866832	5.980051423570241	0.9771005887125829	0.12927537	null
"GO:0006631"	"fatty acid metabolic process"	NaN	5.856685398354459	1.7695330877461002	0.9339301284682903	0.57705068	null
"GO:0006635"	"fatty acid beta-oxidation"	NaN	5.212576430258595	0.40155742599782385	0.9186007897751681	0.81089708	null
"GO:0034440"	"lipid oxidation"	NaN	5.251645519453799	0.4393564231540259	0.9537290102420958	0.91178088	6635
"GO:0006641"	"triglyceride metabolic process"	NaN	4.801945382567944	0.1559956268649979	0.9571749240667915	0.55431635	null
"GO:0006661"	"phosphatidylinositol biosynthetic process"	NaN	5.217804940265089	0.4064210594145494	0.9380632487634487	0.84887462	null
"GO:0006691"	"leukotriene metabolic process"	NaN	3.771440486639912	0.014539211838359408	0.9564635234074693	0.26279207	null
"GO:0006693"	"prostaglandin metabolic process"	NaN	4.017325554561722	0.02561283873200745	0.9449785313389579	0.82327338	null
"GO:0006706"	"steroid catabolic process"	NaN	4.02649240705284	0.026159259085505975	0.9572779268840692	0.6333414	null
"GO:0006730"	"one-carbon metabolic process"	NaN	5.140313163880555	0.3400039115820981	0.9575199527227589	0.29547482	null
"GO:0006734"	"NADH metabolic process"	NaN	4.674263919692225	0.11625954494211416	0.9396626818472317	0.47110944	null
"GO:0006739"	"NADP metabolic process"	NaN	5.14250522083399	0.34172439728973536	0.9349099362893583	0.72380811	null
"GO:0006749"	"glutathione metabolic process"	NaN	5.115703683637	0.32127301568063965	0.9619112647326633	0.55156884	null
"GO:0006750"	"glutathione biosynthetic process"	NaN	4.389148357697377	0.060298224414445364	0.9540051784216109	0.69173175	null
"GO:0006751"	"glutathione catabolic process"	NaN	4.342837036916425	0.05419899181998885	0.9453354515505438	0.76633652	null
"GO:0006778"	"porphyrin-containing compound metabolic process"	NaN	5.269216308531292	0.4574965943489995	0.9862344802716948	0.03698692	null
"GO:0006782"	"protoporphyrinogen IX biosynthetic process"	NaN	4.854099475027679	0.17590058812059509	0.9723336880801821	0.84240781	null
"GO:0006801"	"superoxide metabolic process"	NaN	4.75721376909311	0.14072785455530712	0.9662803075686307	0.617774	null
"GO:0006805"	"xenobiotic metabolic process"	NaN	4.777216512043379	0.14736120073854372	0.8949360869492758	0.6592465	null
"GO:0042178"	"xenobiotic catabolic process"	NaN	4.519210883619447	0.08135263749474439	0.8792991870615069	0.94990834	6805
"GO:0071466"	"cellular response to xenobiotic stimulus"	NaN	4.792216535439859	0.15253988733206128	0.9127532764648864	0.9834872	6805
"GO:0006809"	"nitric oxide biosynthetic process"	NaN	3.66228551572213	0.01130745542329831	0.9801864819390842	0.08811358	null
"GO:0006812"	"monoatomic cation transport"	NaN	6.218204275344302	4.067971541443448	0.9358301427390486	0.66834192	null
"GO:0034220"	"monoatomic ion transmembrane transport"	NaN	6.242153421106761	4.298600312266925	0.9241417147832481	0.90224319	6812
"GO:0006813"	"potassium ion transport"	NaN	5.424811425456997	0.6546115834912332	0.9426536112290965	0.70594866	null
"GO:0006814"	"sodium ion transport"	NaN	5.397333310001031	0.6144767623914722	0.9429453860973027	0.69063579	null
"GO:0006816"	"calcium ion transport"	NaN	5.250861391984317	0.4385638675061586	0.9444510300832524	0.57153859	null
"GO:0006825"	"copper ion transport"	NaN	4.779293389362142	0.1480676090333819	0.9476121233636903	0.68538394	null
"GO:0006828"	"manganese ion transport"	NaN	4.5375924475173415	0.0848699108512732	0.9496111655909014	0.52121167	null
"GO:0006836"	"neurotransmitter transport"	NaN	4.765579153897841	0.14346487902868713	0.9588009593241086	0.17755044	null
"GO:0006869"	"lipid transport"	NaN	5.554812489062661	0.8830497501948285	0.9351732141386702	0.7482712	null
"GO:0006874"	"intracellular calcium ion homeostasis"	NaN	5.034492091614136	0.26647837644827854	0.980099249759259	0.71168806	null
"GO:0006878"	"intracellular copper ion homeostasis"	NaN	3.8684680990209865	0.018179552842072556	0.9836825474097112	0.48530295	null
"GO:0006882"	"intracellular zinc ion homeostasis"	NaN	4.289633539009645	0.04794961669596743	0.9827583749505727	0.59551161	null
"GO:0006886"	"intracellular protein transport"	NaN	5.793354475071429	1.529423185383541	0.9062872349043394	0.85114934	null
"GO:0006887"	"exocytosis"	NaN	5.152985103063503	0.35007084512177816	0.9264365047711621	0.77195051	null
