LOC_ID,metric,n,slope_wls,p_wls,q_wls,protein_name,blast_pident,blast_evalue,annotation_source,in_TC_DEG_annotation,blast_ok,gene_set,tier,slope_mixed,p_mixed,q_mixed,p_perm_metricwise,p_perm_famwise,p_perm_primary
LOC134695661,adhesion_kpa,45,-11.441313699501498,0.195426169065922,0.8539273909184854,Heat shock 70 kDa protein 12B (Heat shock protein family A member 12B),34.961,3.68e-115,genome_blast,FALSE,TRUE,candidate,exploratory,-11.345949152752016,0.1988224967300763,0.8663612089569291,1,1,NA
LOC134683831,adhesion_kpa,45,5.534978335328619,0.2028500218222636,0.8634173152949859,Byssal protein-1,42.458,9.77e-32,genome_blast,FALSE,TRUE,candidate,exploratory,5.497200736111422,0.20541530448212725,0.8663612089569291,1,1,NA
LOC134706577,adhesion_kpa,45,14.13028579201959,0.2061892096226832,0.8634173152949859,"10 kDa heat shock protein, mitochondrial (Hsp10) (10 kDa chaperonin) (Chaperonin 10) (CPN10)",65.657,4.74e-43,genome_blast,TRUE,TRUE,candidate,exploratory,14.085313773311771,0.2068922290046398,0.8663612089569291,1,1,NA
LOC134697127,adhesion_kpa,45,-14.744456614561074,0.21938759305552577,0.8999368613094016,Heat shock 70 kDa protein 12B (Heat shock protein family A member 12B),33.807,1.68e-109,genome_blast,TRUE,TRUE,candidate,exploratory,-14.878714710362456,0.21464244951631434,0.8804720888322282,1,1,NA
LOC134706727,adhesion_kpa,45,11.726001492006013,0.22738685716410284,0.9140951657996933,Glutathione S-transferase (PfGST) (EC 2.5.1.18),32.227,1.79e-21,genome_blast,FALSE,TRUE,candidate,exploratory,11.749403095249004,0.22565812129286553,0.9071456475973193,1,1,NA
LOC134706576,adhesion_kpa,45,13.665167526469691,0.25479255013009455,0.9253149574970927,"60 kDa heat shock protein, mitochondrial (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (Heat shock protein 60) (HSP-60) (Hsp60)",75.226,0,genome_blast,TRUE,TRUE,candidate,exploratory,14.013085657571025,0.2433456389307225,0.9102106075353015,1,1,NA
LOC134725830,adhesion_kpa,45,12.321681572781115,0.26908468338416014,0.9253149574970927,Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Prolyl 4-hydroxylase subunit beta) (p55),63.053,0,genome_blast,FALSE,TRUE,candidate,exploratory,12.425815137461003,0.26439645956060376,0.9102106075353015,1,1,NA
LOC134697432,adhesion_kpa,45,8.341566621525162,0.27026693114254985,0.9253149574970927,"Histidine--tRNA ligase, cytoplasmic (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS)",69.4,0,genome_blast,FALSE,TRUE,candidate,exploratory,8.276605079680754,0.2734300233785788,0.9102106075353015,1,1,NA
LOC134711496,adhesion_kpa,45,1.4891779113173713,0.28075870395948554,0.9253149574970927,Foot protein 10,55.016,3.2199999999999993e-106,genome_blast,FALSE,TRUE,candidate,exploratory,1.4754772657714763,0.2847154684272716,0.9102106075353015,1,1,NA
LOC134712292,adhesion_kpa,45,7.171403453873284,0.2819877181,0.9253149574970927,"Glutathione reductase, mitochondrial (GR) (GRase) (EC 1.8.1.7)",62.391,0,genome_blast,FALSE,TRUE,candidate,exploratory,7.453137002631941,0.26511299860643267,0.9102106075353015,1,1,NA
