LOC_ID,metric,n,slope_wls,p_wls,q_wls,protein_name
LOC134706345,pad_area,46,-0.48220998306527496,0.14165634351901174,0.7483258078895136,Glycine--tRNA ligase (EC 6.1.1.14) (Diadenosine tetraphosphate synthetase) (Ap4A synthetase) (EC 2.7.7.-) (Glycyl-tRNA synthetase) (GlyRS) (Glycyl-tRNA synthetase 1)
LOC134700327,pad_area,46,0.10335850894491479,0.7987123584543714,0.9307721233503129,Glutathione peroxidase 7 (GPx-7) (GSHPx-7) (EC 1.11.1.9)
LOC134717350,pad_area,46,0.05119146436406038,0.7647366772441818,0.926507897430451,Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)
LOC134722124,pad_area,46,-0.2562773425613192,0.4318750432499626,0.8002390507278719,Hypoxia up-regulated protein 1
LOC134706576,pad_area,46,-0.4134912079890246,0.31989206107783086,0.7483258078895136,"60 kDa heat shock protein, mitochondrial (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (Heat shock protein 60) (HSP-60) (Hsp60)"
LOC134725152,pad_area,46,-0.34132412060472583,0.4257135218952698,0.8002390507278719,"Prolyl 4-hydroxylase subunit alpha-2 (4-PH alpha-2) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-2)"
LOC134712215,pad_area,46,-0.6032048364601567,0.1995097430343949,0.7483258078895136,Egl nine homolog 1 (EC 1.14.11.29) (Hypoxia-inducible factor prolyl hydroxylase 2) (HIF-PH2) (HIF-prolyl hydroxylase 2) (HPH-2) (Prolyl hydroxylase domain-containing protein 2) (PHD2)
LOC134711376,pad_area,46,-0.4308918933240362,0.20573932191617694,0.7483258078895136,Hypoxia-inducible factor 1-alpha (HIF-1-alpha) (HIF1-alpha)
LOC134725758,pad_area,46,0.371034196292316,0.41448519524055016,0.8002390507278719,Peroxiredoxin-1 (EC 1.11.1.24) (Thioredoxin-dependent peroxiredoxin 1)
LOC134695781,pad_area,46,0.13101614306462606,0.6500247031384099,0.9048603622911706,97 kDa heat shock protein (Heat shock protein 110)
LOC134685659,pad_area,46,-0.17878497610908606,0.5967541404292358,0.9048603622911706,"Leucine--tRNA ligase, cytoplasmic (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS) (cLRS)"
LOC134721501,pad_area,46,-0.12662263685084563,0.688573639918721,0.9048603622911706,Lysine--tRNA ligase (EC 2.7.7.-) (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)
LOC134714392,pad_area,46,-0.5264686072806429,0.1557797671533204,0.7483258078895136,Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)
LOC134728203,pad_area,46,-0.2722018231680425,0.3881733620343628,0.8002390507278719,"Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)"
LOC134721377,pad_area,46,-0.2689825360847804,0.488148823632261,0.8756881430183294,"Alanine--tRNA ligase, cytoplasmic (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Renal carcinoma antigen NY-REN-42)"
LOC134709977,pad_area,46,0.63354164594841,0.28499042727748797,0.7483258078895136,Heat shock protein HSP 90-alpha
LOC134716333,pad_area,46,-0.08889985606543839,0.8479410612232792,0.9307721233503129,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B (HsPDE8B) (EC 3.1.4.53) (Cell proliferation-inducing gene 22 protein)"
LOC134680973,pad_area,46,-0.2512021633414224,0.14255093419510698,0.7483258078895136,Collagen alpha-6(VI) chain
LOC134716384,pad_area,46,-0.072096716125607,0.6957749545665214,0.9048603622911706,ACDC (Byssal EP-like protein 1) (EP-protein-1)
LOC134708353,pad_area,46,-0.010875134448116087,0.9770439812491553,0.9770439812491553,Heat shock cognate 71 kDa protein (EC 3.6.4.10) (Heat shock 70 kDa protein 8)
LOC134684257,pad_area,46,-0.9140235608670765,0.06404196456220744,0.6792363089350913,"Peptidyl-prolyl cis-trans isomerase FKBP4 (PPIase FKBP4) (EC 5.2.1.8) (52 kDa FK506-binding protein) (52 kDa FKBP) (FKBP-52) (FK506-binding protein 4) (FKBP-4) (HSP-binding immunophilin) (HBI) (Immunophilin FKBP52) (Rotamase) [Cleaved into: Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed]"
LOC134722108,pad_area,46,-0.12152263838519939,0.6049458475712801,0.9048603622911706,Collagen alpha-1(XXI) chain
LOC134695253,pad_area,46,-0.8063523120555766,0.06468917227953251,0.6792363089350913,Collagen alpha-3(VI) chain
