direction,LOC_ID,protein_name,log2FoldChange,padj,T014F,T015F,T016F,T017F,T019F,T021F,T023F,T025F,T026F,T027F,T118F,T119F,T046F,T049F,T052F,T055F,T056F,T057F,T058F,T110F,T111F,T112F,T029F,T030F,T031F,T033F,T034F,T035F,T036F,T037F,T038F,T039F,T040F,T041F,T126F,T127F,T128F,T129F,T130F,T131F,T132F,T133F,T134F,T135F,T136F,T137F
down,LOC134708608,NA,-0.1,0.0193,3.957,5.651,4.393,5.76,5.004,5.8,3.486,6.08,5.722,6.167,5.478,6.471,8.636,4.923,8.269,7.886,5.345,8.282,6.733,7.621,8.612,6.859,4.62,7.619,7.775,6.13,4.237,6.68,7.428,6.815,8.964,4.112,6.602,3.486,7.262,7.426,7.533,7.854,5.261,7.026,9.128,6.84,4.292,8.155,6.491,4.398
down,LOC134721830,Calbindin-32,-0.471,0.0333,7.223,8.043,7.744,7.216,7.921,7.228,7.728,7.297,7.325,7.744,6.922,7.538,7.141,7.972,7.696,6.725,8.077,7.806,8.057,7.179,8.428,8.202,7.49,7.77,7.497,8.22,8.201,7.438,7.956,7.811,8.314,7.151,7.543,8.548,7.878,8.146,7.979,8.551,8.197,7.977,8.327,7.755,8.332,7.503,7.516,8.038
down,LOC134714997,Rho-related BTB domain-containing protein 1,-0.512,0.0336,5.49,5.289,5.362,5.319,5.453,5.57,5.67,5.832,5.223,5.6,5.677,5.465,5.694,5.409,5.514,5.544,5.812,5.303,5.344,5.461,5.493,6.002,5.689,6.157,5.454,5.537,5.846,5.645,6.004,5.741,5.919,5.073,5.157,5.309,5.669,5.975,5.655,5.394,5.986,5.977,5.871,5.747,6.111,6.358,5.609,6.181
down,LOC134721016,Cilia- and flagella-associated protein 44 (WD repeat-containing protein 52),-0.548,0.0159,7.999,7.422,8.316,7.742,7.597,8.118,8.543,8.201,8.15,7.636,8.614,8.137,8.57,7.599,8.39,7.428,7.647,8.029,7.715,8.407,8.151,7.801,8.446,8.767,8.763,9.244,9.043,8.696,8.895,8.463,7.807,9.406,6.923,8.316,8.262,8.646,8.525,8.674,8.117,8.198,8.819,9.031,8.626,9.219,8.452,9.116
down,LOC134687647,Dynein axonemal heavy chain 5 (Axonemal beta dynein heavy chain 5) (Ciliary dynein heavy chain 5),-0.558,0.0159,6.343,5.499,6.469,5.947,5.673,6.426,6.307,6.13,6.103,6.209,6.466,6.169,7,6.323,6.202,5.482,5.62,6.366,6.093,6.301,6.138,5.698,6.197,6.778,6.924,6.663,6.357,6.829,6.798,6.36,6.43,7.316,5.193,6.375,6.083,6.969,6.678,6.555,6.229,6.377,6.68,7.069,6.963,6.944,6.478,6.669
down,LOC134720658,NA,-0.561,0.0333,5.784,5.562,6.309,6.336,5.91,6.055,5.923,6.201,5.576,5.835,6.313,6.082,6.432,6.128,5.74,6.146,6.385,6.235,5.997,6.383,6.527,6.208,6.351,6.69,6.795,6.38,5.898,6.342,7.128,6.475,6.296,6.243,6.232,6.485,5.807,6.676,6.634,6.783,6.184,6.287,6.574,6.408,5.99,7.208,6.27,6.76
down,LOC134697178,NA,-0.674,0.0424,5.106,4.57,5.272,5.359,4.505,5.703,5.114,5.32,5.223,4.753,5.561,5.14,5.518,5.037,4.736,5.067,5.345,5.421,5.006,5.523,5.086,5.498,5.564,5.355,5.694,5.59,5.474,6.082,5.846,5.422,4.949,5.765,4.248,5.233,5.716,5.685,5.714,5.425,5.003,5.649,5.563,5.514,6.091,6.075,5.703,5.601
down,LOC134683381,NA,-0.695,0.00251,6.91,6.496,7.314,6.85,7.046,7.309,7.422,7.338,6.878,6.891,7.369,7.285,7.859,6.529,7.596,6.533,7.638,6.676,6.624,7.68,6.882,7.849,7.763,8.388,8.241,8.018,8.405,8.441,7.666,7.895,7.579,8.052,6.422,7.463,6.954,8.178,7.833,7.88,6.848,7.943,7.72,7.552,7.992,8.134,7.559,8.294
down,LOC134725490,NA,-0.764,0.0453,4.702,4.57,5.799,4.941,4.953,5.542,5.753,5.125,5.047,4.935,5.561,5.465,5.942,5.929,5.568,4.696,5.345,5.173,4.442,5.327,5.086,5.461,5.846,6.458,5.965,6.786,6.221,6.147,6.091,6.235,5.296,6.362,4.613,5.658,5.716,5.589,5.799,6.113,5.214,5.1,5.743,5.918,6.405,6.358,5.952,5.713
down,LOC134715440,Zinc finger protein 474,-0.777,0.0159,5.359,5.251,5.362,5.701,5.053,5.625,5.812,5.802,5.223,4.685,6.032,5.535,6.051,5.09,5.693,5.111,5.535,5.721,5.168,5.523,5.133,5.423,6.351,6.44,6.093,6.476,6.412,6.36,6.062,6.097,5.296,6.496,5.121,6.219,5.762,6.012,5.879,5.941,5.474,6.106,6.016,6.617,6.274,6.557,5.68,6.423
